label,EconomicsUniqueWordCount,EntertainmentUniqueWordCount,InternationalUniqueWordCount,ScienceAndTechnologyUniqueWordCount,SportsUniqueWordCount,EconomicsRelatedWordCount,EntertainmentRelatedWordCount,ScienceAndTechnologyRelatedWordCount,SportsRelatedWordCount
0,11,7,6,5,3,1,0,0,0
0,81,31,45,42,28,6,0,0,0
0,3,3,5,3,1,0,0,0,0
0,95,25,24,39,26,8,0,0,1
0,183,18,32,61,41,12,0,1,0
0,8,8,6,17,4,0,0,0,0
0,8,3,8,6,6,0,0,0,0
0,46,9,8,14,9,6,0,0,0
0,68,54,55,63,34,5,0,0,0
0,9,3,3,3,1,1,0,0,0
0,17,6,9,12,3,0,0,2,0
0,24,5,10,18,5,6,0,0,0
0,8,10,12,11,7,0,0,2,0
0,61,32,42,54,21,1,0,4,1
0,7,4,11,12,2,0,0,0,0
0,33,31,35,29,25,1,0,0,0
0,4,9,3,11,5,0,0,0,0
0,3,5,2,6,1,1,0,0,1
0,30,22,31,22,16,6,0,1,0
0,134,83,95,108,56,4,0,4,0
0,39,21,24,46,14,1,0,3,0
0,116,27,37,35,33,10,0,0,0
0,154,28,36,54,34,13,0,0,0
0,86,8,12,20,22,2,0,0,0
0,18,4,7,12,6,6,0,1,0
0,14,16,18,17,9,4,0,0,0
0,2,5,6,4,2,0,0,0,0
0,66,7,9,17,18,2,0,0,0
0,46,34,44,38,29,3,0,1,0
0,86,36,46,40,38,4,0,0,0
0,112,30,58,77,23,30,0,3,1
0,20,19,20,20,7,3,0,2,0
0,109,17,19,29,26,10,0,2,0
0,10,6,5,15,4,0,0,2,0
0,81,22,33,38,22,7,0,0,0
0,73,22,20,23,27,7,0,0,0
0,61,8,7,12,15,2,0,0,0
0,64,17,33,36,14,7,0,0,0
0,44,11,10,14,11,6,0,0,0
0,160,21,47,43,20,12,0,2,1
0,13,10,9,9,9,0,0,0,0
0,40,28,35,32,21,0,0,0,0
0,85,25,33,27,41,5,0,0,1
0,12,14,16,10,12,0,0,0,0
0,71,23,26,29,29,4,0,0,0
0,27,14,18,17,10,4,0,0,0
0,63,48,47,46,31,5,0,5,1
0,54,6,14,16,9,3,0,0,0
0,31,14,24,22,14,2,0,1,0
0,47,30,41,37,29,0,0,0,0
0,87,23,26,26,29,11,0,0,0
0,71,16,14,22,30,5,0,0,0
0,72,23,31,57,19,0,0,5,0
0,18,14,18,12,8,0,0,3,0
0,112,14,28,38,17,14,0,0,0
0,60,24,46,57,20,17,0,6,3
0,16,8,9,6,5,2,0,1,0
0,112,19,16,20,34,6,0,0,0
0,133,17,28,38,20,8,0,0,0
0,17,4,5,12,4,4,0,3,0
0,12,3,8,6,2,2,0,0,0
0,55,32,36,51,25,1,0,3,0
0,28,24,22,25,16,0,1,1,0
0,85,25,33,27,41,5,0,0,1
0,31,21,25,23,16,1,0,1,0
0,147,22,32,39,44,12,0,0,0
0,25,14,22,21,12,2,0,0,0
0,84,46,50,60,28,11,0,1,0
0,27,9,22,13,6,2,0,1,0
0,56,47,51,57,30,2,0,4,0
0,133,99,101,87,59,0,0,2,0
0,18,7,4,5,7,7,0,0,0
0,112,15,28,35,18,16,0,0,0
0,87,5,9,22,20,4,0,0,0
0,144,23,33,46,39,11,0,0,0
0,45,11,10,16,11,6,0,0,0
0,54,35,28,56,21,1,3,5,0
0,15,13,16,12,11,0,0,1,0
0,16,16,18,23,9,1,1,0,0
0,5,2,4,5,2,1,0,1,0
0,11,5,11,12,3,0,0,2,0
0,36,11,23,39,10,3,1,1,0
0,21,14,14,20,8,4,0,2,0
0,25,23,22,27,9,2,0,8,0
0,61,15,29,55,8,9,0,0,0
0,41,17,26,34,11,0,0,3,0
0,13,4,5,7,6,4,0,0,0
0,102,18,18,37,27,13,0,1,0
0,51,38,53,63,29,1,0,15,10
0,117,15,27,37,20,16,0,0,1
0,28,3,10,8,5,2,0,0,0
0,9,8,4,3,3,0,0,0,0
0,23,15,18,18,10,2,0,0,0
0,13,6,13,11,4,4,0,0,0
0,50,17,12,16,24,3,0,0,0
0,56,17,21,21,29,4,0,0,1
0,7,6,7,18,3,0,0,0,0
0,24,3,13,20,8,5,0,2,0
0,64,17,14,16,27,6,0,0,0
0,29,18,14,23,13,4,0,1,0
0,31,27,27,34,18,0,0,0,0
0,48,22,27,44,15,2,0,0,0
0,68,39,56,53,29,5,0,4,0
0,49,11,20,34,13,1,0,1,0
0,4,4,8,5,4,0,1,2,0
0,20,16,12,15,10,3,0,0,0
0,9,9,9,10,6,0,0,0,0
0,55,27,28,19,31,7,0,0,0
0,83,15,14,24,23,4,0,0,0
